,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,palafrugell,41.9174,3.1631,51.01,24,100,1.92,ES,1612038676
171,narsaq,60.9167,-46.05,39.2,35,75,35.68,GL,1612038676
172,nueva concepcion,14.2,-91.3,89.6,55,1,9.22,GT,1612038676
173,chabahar,25.2919,60.643,68.27,68,0,5.84,IR,1612038677
174,andros,37.8333,24.9333,55.99,52,2,3.0,GR,1612038677
175,nemuro,43.3236,145.575,21.22,92,100,16.82,JP,1612038501
176,opotiki,-38.0833,177.2833,62.01,67,17,5.01,NZ,1612038677
177,esperance,-33.8667,121.9,57.2,88,0,10.36,AU,1612038677
178,takoradi,4.8845,-1.7554,80.22,82,66,9.37,GH,1612038677
179,abnub,27.2696,31.1511,53.6,54,0,4.61,EG,1612038678
180,progreso,21.2833,-89.6667,86.0,37,75,16.11,MX,1612038678
181,giporlos,11.12,125.4494,76.82,82,74,15.52,PH,1612038678
182,fukue,32.6881,128.8419,49.95,52,2,0.96,JP,1612038679
183,baykit,61.67,96.37,-34.62,76,52,1.81,RU,1612038533
184,te anau,-45.4167,167.7167,52.74,78,91,3.51,NZ,1612038679
185,dunedin,-45.8742,170.5036,62.01,64,16,1.99,NZ,1612038680
186,mount gambier,-37.8333,140.7667,46.4,100,1,4.61,AU,1612038412
187,coahuayana,18.7333,-103.6833,87.8,40,40,7.67,MX,1612038680
188,mogadishu,2.0371,45.3438,75.69,81,0,19.89,SO,1612038680
189,sechura,-5.5569,-80.8222,83.82,51,0,15.32,PE,1612038680
190,pimenta bueno,-11.6725,-61.1936,83.25,74,57,2.39,BR,1612038680
191,marsa matruh,31.3525,27.2453,64.4,48,0,17.27,EG,1612038680
192,kruisfontein,-34.0033,24.7314,64.99,80,1,1.9,ZA,1612038681
193,siniscola,40.5719,9.6922,60.8,72,20,21.85,IT,1612038681
194,battonya,46.2833,21.0167,45.0,81,0,9.22,HU,1612038681
195,cap-chat,49.1001,-66.6821,8.6,72,100,13.8,CA,1612038681
196,caravelas,-17.7125,-39.2481,78.73,75,0,7.47,BR,1612038681
197,mbekenyera,-10.0,38.9833,72.19,96,100,5.68,TZ,1612038681
198,port hedland,-20.3167,118.5667,84.2,74,40,8.05,AU,1612038682
199,camacha,33.0833,-16.3333,62.6,88,40,9.22,PT,1612038682
200,nabire,-3.3667,135.4833,76.01,89,100,3.22,ID,1612038549
201,willowmore,-33.2926,23.4895,66.0,68,0,7.38,ZA,1612038682
202,east london,-33.0153,27.9116,70.57,79,6,2.57,ZA,1612038682
203,quatre cocos,-20.2078,57.7625,78.8,89,75,8.05,MU,1612038682
204,mar del plata,-38.0023,-57.5575,62.6,63,90,18.41,AR,1612038494
205,okhotsk,59.3833,143.3,-12.69,79,0,15.97,RU,1612038683
206,namibe,-15.1961,12.1522,73.58,77,61,9.46,AO,1612038683
207,sungai besar,3.6746,100.9867,75.2,94,20,4.5,MY,1612038683
208,dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,1612038683
209,wiarton,44.7407,-81.1332,24.8,74,40,5.75,CA,1612038683
210,rottingdean,50.8098,-0.0594,39.99,99,100,4.0,GB,1612038684
211,fortuna,40.5982,-124.1573,55.99,71,40,23.02,US,1612038684
212,masvingo,-20.0637,30.8277,68.09,95,99,7.2,ZW,1612038684
213,canutama,-6.5339,-64.3831,88.43,62,61,2.93,BR,1612038684
214,mouzouras,35.5333,24.15,57.2,77,20,9.22,GR,1612038684
215,kavaratti,10.5669,72.642,80.85,70,37,7.81,IN,1612038684
216,limenaria,40.6261,24.5786,50.0,62,1,1.99,GR,1612038684
217,puerto ayora,-0.7393,-90.3518,86.0,62,0,13.8,EC,1612038454
218,coolum beach,-26.5333,153.1,73.99,93,71,1.01,AU,1612038685
219,kahului,20.8947,-156.47,75.2,69,40,14.97,US,1612038600
220,barrow,71.2906,-156.7887,-9.4,77,90,9.22,US,1612038685
221,bilibino,68.0546,166.4372,-27.65,79,1,5.39,RU,1612038685
222,gaya,24.7833,85.0,45.54,58,0,4.94,IN,1612038685
223,sorland,67.667,12.6934,31.28,92,55,8.57,NO,1612038685
224,ko samui,9.5357,99.9357,79.86,78,18,12.01,TH,1612038533
225,charters towers,-20.1,146.2667,71.73,88,34,4.0,AU,1612038556
226,ribeira grande,38.5167,-28.7,64.4,88,40,16.11,PT,1612038686
227,salalah,17.0151,54.0924,69.8,60,0,5.75,OM,1612038686
228,bobcaygeon,44.5462,-78.542,19.4,63,1,10.36,CA,1612038686
229,mount isa,-20.7333,139.5,86.0,37,61,4.61,AU,1612038651
230,kupang,-10.1667,123.5833,78.91,86,100,22.53,ID,1612038686
231,sisimiut,66.9395,-53.6735,6.96,91,79,7.9,GL,1612038687
232,villazon,-22.0866,-65.5942,69.24,21,36,6.6,BO,1612038615
233,beringovskiy,63.05,179.3167,6.94,95,100,14.12,RU,1612038687
234,tautira,-17.7333,-149.15,86.0,66,75,12.66,PF,1612038687
235,constitucion,-35.3333,-72.4167,65.59,82,59,6.71,CL,1612038656
236,provideniya,64.3833,-173.3,-13.97,83,62,8.61,RU,1612038459
237,mackay,-21.15,149.2,78.8,78,40,14.97,AU,1612038531
238,yeghegnavan,39.838,44.6253,24.8,93,19,2.3,AM,1612038688
239,northam,51.0333,-4.2167,41.0,90,64,18.01,GB,1612038688
240,qaqortoq,60.7167,-46.0333,39.2,35,75,35.68,GL,1612038471
241,atar,20.5169,-13.0499,70.0,20,70,8.5,MR,1612038688
242,gornopravdinsk,60.05,69.9,1.15,92,100,10.49,RU,1612038688
243,deputatskiy,69.3,139.9,-31.95,87,90,1.25,RU,1612038689
244,siderno,38.2779,16.302,59.0,50,98,1.99,IT,1612038689
245,vanavara,60.34,102.2797,-42.29,79,11,2.91,RU,1612038689
246,laguna,38.421,-121.4238,59.0,54,1,5.75,US,1612038411
247,middlebury,44.0153,-73.1673,15.01,52,1,6.91,US,1612038689
248,ahipara,-35.1667,173.1667,66.83,59,0,7.09,NZ,1612038689
249,petropavlovsk-kamchatskiy,53.0452,158.6483,26.6,59,40,13.42,RU,1612038690
250,montero,-17.3333,-63.25,82.02,75,100,10.22,BO,1612038690
251,tahta,26.7693,31.5021,53.6,50,0,3.44,EG,1612038690
252,loralai,30.3705,68.598,45.5,47,0,0.92,PK,1612038690
253,buala,-8.145,159.5921,82.89,81,100,13.91,SB,1612038690
254,gladstone,-23.85,151.25,73.4,78,19,8.05,AU,1612038690
255,makakilo city,21.3469,-158.0858,78.8,61,20,9.22,US,1612038435
256,thinadhoo,0.5333,72.9333,81.5,79,99,15.93,MV,1612038691
257,puerto del rosario,28.5004,-13.8627,64.4,82,75,17.27,ES,1612038608
258,santiago del estero,-27.7951,-64.2615,75.83,82,100,16.6,AR,1612038691
259,honiara,-9.4333,159.95,80.76,82,100,5.41,SB,1612038691
260,menongue,-14.6585,17.691,64.11,91,100,3.65,AO,1612038691
261,pevek,69.7008,170.3133,-33.7,84,3,1.19,RU,1612038691
262,port lincoln,-34.7333,135.8667,60.31,80,0,13.38,AU,1612038691
263,nizhniy baskunchak,48.2198,46.8311,31.14,95,15,9.26,RU,1612038691
264,san patricio,28.017,-97.5169,87.8,48,40,17.27,US,1612038692
265,ada,43.4166,-116.1262,46.4,46,1,4.9,US,1612038692
266,kefamenanu,-9.4467,124.4781,71.58,93,100,4.94,ID,1612038692
267,mahebourg,-20.4081,57.7,78.8,89,75,8.05,MU,1612038692
268,torbay,47.6666,-52.7314,30.0,86,90,10.36,CA,1612038692
269,vilhena,-12.7406,-60.1458,77.0,83,75,5.75,BR,1612038693
270,huari,-9.3333,-77.2333,48.97,71,100,4.72,PE,1612038693
271,la baule-escoublac,47.2922,-2.364,51.8,93,90,17.27,FR,1612038487
272,misratah,32.3754,15.0925,65.12,56,0,11.7,LY,1612038693
273,halifax,44.6453,-63.5724,26.6,54,100,9.22,CA,1612038559
274,nelson bay,-32.7167,152.15,69.01,100,90,4.61,AU,1612038693
275,kapuskasing,49.4169,-82.4331,3.2,71,93,1.14,CA,1612038693
276,shellbrook,53.2168,-106.4011,15.8,79,90,2.3,CA,1612038694
277,gander,48.9682,-54.5906,26.6,93,90,13.8,CA,1612038625
278,sao lourenco do sul,-31.3653,-51.9783,80.6,83,90,13.8,BR,1612038694
279,srednekolymsk,67.45,153.6833,-34.51,84,100,2.35,RU,1612038694
280,rameshki,57.3439,36.0453,19.67,97,98,9.51,RU,1612038694
281,anadyr,64.75,177.4833,-5.8,65,93,15.66,RU,1612038695
282,yulara,-25.2406,130.9889,84.2,34,40,13.8,AU,1612038695
283,beloha,-25.1667,45.05,78.87,69,32,3.65,MG,1612038454
284,pasighat,28.0667,95.3333,54.46,62,0,4.29,IN,1612038695
285,huarmey,-10.0681,-78.1522,76.68,62,73,12.68,PE,1612038695
286,miraflores,19.2167,-98.8083,77.0,28,40,6.91,MX,1612038695
287,tymovskoye,50.8456,142.655,-9.78,88,100,4.03,RU,1612038696
288,anloga,5.7947,0.8973,84.2,79,20,8.05,GH,1612038696
289,manbij,36.5281,37.9549,41.0,100,90,11.5,SY,1612038696
290,comodoro rivadavia,-45.8667,-67.5,64.4,42,20,12.66,AR,1612038623
291,saskylakh,71.9167,114.0833,-36.35,80,100,9.62,RU,1612038451
292,vostok,46.4856,135.8833,-22.67,87,92,4.5,RU,1612038495
293,saint-augustin,51.226,-58.6502,30.49,94,88,12.15,CA,1612038696
294,ancud,-41.8697,-73.8203,66.2,48,0,6.91,CL,1612038697
295,zhanaozen,43.3,52.8,36.75,82,95,10.56,KZ,1612038697
296,maraba,-5.3686,-49.1178,75.2,100,75,5.75,BR,1612038697
297,labytnangi,66.6572,66.4183,-20.38,86,100,7.38,RU,1612038697
298,port blair,11.6667,92.75,78.69,80,66,5.77,IN,1612038663
299,ganzhou,28.8184,115.4327,45.84,69,63,0.87,CN,1612038697
300,tocopilla,-22.092,-70.1979,73.74,44,12,8.68,CL,1612038697
301,saint-pierre,-21.3393,55.4781,78.8,65,0,3.44,RE,1612038453
302,pitimbu,-7.4706,-34.8086,82.4,74,20,13.8,BR,1612038698
303,vestmanna,62.1564,-7.1664,33.8,86,75,18.41,FO,1612038698
304,basco,20.4487,121.9702,70.34,69,47,25.5,PH,1612038698
305,aasiaat,68.7098,-52.8699,-1.3,88,88,6.22,GL,1612038698
306,puerto escondido,15.85,-97.0667,84.2,74,1,6.91,MX,1612038698
307,westport,41.1415,-73.3579,30.2,29,1,12.66,US,1612038515
308,namtsy,62.7161,129.6658,-49.0,59,100,1.9,RU,1612038699
309,mandalgovi,45.7625,106.2708,12.13,88,54,13.87,MN,1612038699
310,melilla,35.2937,-2.9383,60.8,88,20,17.27,ES,1612038699
311,zatoka,46.0725,30.4654,33.8,100,20,9.1,UA,1612038699
312,okato,-39.2,173.8833,57.99,55,0,8.01,NZ,1612038699
313,itaituba,-4.2761,-55.9836,89.6,62,20,3.44,BR,1612038699
314,vilcun,-38.65,-72.2333,73.4,56,75,8.05,CL,1612038699
315,north bend,43.4065,-124.2243,50.0,87,90,5.68,US,1612038700
316,vigrestad,58.5667,5.7,27.0,100,75,17.07,NO,1612038700
317,dagana,16.5165,-15.5068,87.8,20,0,2.3,MR,1612038700
318,nikolayevka,53.1257,47.2041,24.37,97,100,6.93,RU,1612038700
319,ostrovnoy,68.0531,39.5131,13.68,95,100,9.89,RU,1612038700
320,soure,-0.7167,-48.5233,80.4,84,68,12.55,BR,1612038700
321,port elizabeth,-33.918,25.5701,64.4,88,40,5.75,ZA,1612038474
322,airai,-8.9266,125.4092,61.52,100,100,5.12,TL,1612038701
323,avanigadda,16.0215,80.9181,70.5,91,100,4.14,IN,1612038701
324,araouane,18.9048,-3.5265,70.84,19,15,9.24,ML,1612038701
325,fare,-16.7,-151.0167,81.27,68,62,5.77,PF,1612038701
326,parrita,9.5201,-84.3225,78.8,64,20,23.02,CR,1612038701
327,bubaque,11.2833,-15.8333,79.21,67,44,12.41,GW,1612038703
328,rawson,-43.3002,-65.1023,64.24,43,2,19.04,AR,1612038649
329,chirongui,-12.9319,45.1483,78.8,89,20,2.3,YT,1612038703
330,sume,-7.6717,-36.88,83.97,42,87,14.81,BR,1612038703
331,bengkulu,-3.8004,102.2655,75.34,88,100,5.84,ID,1612038475
332,cacoal,-11.4386,-61.4472,83.23,80,66,0.87,BR,1612038435
333,brownsville,25.9018,-97.4975,82.4,54,75,28.77,US,1612038703
334,gorele,41.0308,39.0031,60.8,23,0,20.71,TR,1612038703
335,seoul,37.5683,126.9778,21.2,93,98,3.44,KR,1612038704
336,sena madureira,-9.0656,-68.6569,82.58,87,63,2.84,BR,1612038704
337,kamenka,51.3223,42.7678,34.0,96,100,14.83,RU,1612038704
338,thunder bay,48.4001,-89.3168,28.99,80,90,18.41,CA,1612038704
339,talara,-4.5772,-81.2719,87.8,51,75,17.27,PE,1612038551
340,moindou,-21.6924,165.677,71.6,78,75,1.14,NC,1612038704
341,dudinka,69.4058,86.1778,-36.13,77,0,6.73,RU,1612038704
342,moyale,3.5167,39.0584,71.06,27,0,11.52,KE,1612038704
343,west wendover,40.7391,-114.0733,44.6,36,1,6.91,US,1612038705
344,cabo san lucas,22.8909,-109.9124,77.0,57,20,3.44,MX,1612038705
345,plavsk,53.7094,37.2919,23.29,97,100,9.82,RU,1612038705
346,marawi,7.9986,124.2928,75.99,88,92,1.99,PH,1612038705
347,tete,-16.1564,33.5867,80.01,94,40,3.53,MZ,1612038705
348,turukhansk,65.8167,87.9833,-32.82,76,0,4.79,RU,1612038705
349,moose factory,51.2585,-80.6094,3.2,78,40,2.3,CA,1612038705
350,bayonet point,28.3267,-82.6834,72.0,51,86,1.99,US,1612038706
351,colares,38.7992,-9.4469,57.99,78,63,20.2,PT,1612038706
352,kadyy,57.787,43.1903,20.61,96,100,10.65,RU,1612038706
353,aripuana,-9.1667,-60.6333,81.18,89,87,3.0,BR,1612038706
354,matay,28.419,30.7792,52.61,43,0,7.36,EG,1612038616
355,fort nelson,58.8053,-122.7002,-14.8,76,40,1.57,CA,1612038706
356,codrington,-38.2667,141.9667,59.36,71,94,6.64,AU,1612038706
357,vrangel,42.7297,133.0839,2.03,83,0,8.79,RU,1612038707
358,bronnitsy,55.4194,38.2708,26.6,80,75,8.95,RU,1612038707
359,mikkeli,61.6886,27.2723,23.0,100,90,3.89,FI,1612038707
360,itupiranga,-5.1347,-49.3267,75.2,100,75,5.75,BR,1612038707
361,kousseri,12.0769,15.0306,77.0,22,10,6.91,CM,1612038707
362,grants,35.1473,-107.8514,41.0,36,1,16.11,US,1612038555
363,nancha,47.1333,129.2667,-15.05,83,0,1.9,CN,1612038708
364,esmeraldas,-19.7625,-44.3139,89.6,42,20,6.91,BR,1612038709
365,moron,-34.6534,-58.6198,62.6,88,90,13.8,AR,1612038451
